task	oracle_regret	oracle_relative	oracle_reward	oracle_total_reward	static2_regret	static2_relative	static2_reward	static2_total_reward	static10_regret	static10_relative	static10_reward	static10_total_reward	static10rev_regret	static10rev_relative	static10rev_reward	static10rev_total_reward	epsilon0_regret	epsilon0_relative	epsilon0_reward	epsilon0_total_reward	epsilon10_regret	epsilon10_relative	epsilon10_reward	epsilon10_total_reward	vbde05_regret	vbde05_relative	vbde05_reward	vbde05_total_reward	vbde10_regret	vbde10_relative	vbde10_reward	vbde10_total_reward	vbde50_regret	vbde50_relative	vbde50_reward	vbde50_total_reward	vbde200_regret	vbde200_relative	vbde200_reward	vbde200_total_reward	ucb_regret	ucb_relative	ucb_reward	ucb_total_reward	pessimist_regret	pessimist_relative	pessimist_reward	pessimist_total_reward
10	31.14650785335299	0	49.59955090344559	565.2433507804469	86.04550930575729	0	54.73813323825554	622.4044448469609	63.73636127121972	0	74.47225561260872	594.9706753977089	271.6257809044077	0	52.577341396855026	800.1748363627098	70.23131386260849	0	56.59890565121421	612.6812141371717	88.40935489276296	0	54.356073805558815	630.015145418332	145.43626434622257	0	60.619418927406976	685.0983876179048	138.12392894062714	0	61.093709163247794	675.8551979593041	115.11412987690593	0	55.63269766710323	651.7371590373373	95.3767095077777	0	54.798861086094554	631.0137757398276	143.89942661271505	0	64.42418111175402	679.2884296965183	281.34489738864505	0	75.37797168683528	813.5559090957133
11	31.26930780447344	0	49.28743753740328	614.5307883178501	89.82146706298664	0	51.24576751553498	673.650212362496	85.3140229482689	0	70.89762124607472	665.8682966437835	273.6594124231892	0	51.66447058119544	851.8393069439054	81.8181243790839	0	58.81175135068842	671.4929654878605	92.33463121668177	0	54.91240795338786	684.9275533717195	160.62043392168857	0	63.54301142104387	748.641399038948	147.15158158942208	0	57.661243945365065	733.516441904669	121.33502291275188	0	55.87490429787477	707.6120633352122	101.04918641243968	0	56.089979713247956	687.1037554530757	149.87457290824398	0	56.80862043682803	736.0970501333464	306.2559923309075	0	73.49535140859815	887.0512605043112
12	32.15048530651139	0	49.68353953396744	664.214327851818	92.13554639421733	0	51.34353022056729	724.9937425830633	113.96831394278698	0	76.97734126762396	742.8456379114074	275.9189822798983	0	50.364041346065875	902.2033482899715	89.4203618816602	0	56.151454191859166	727.6444196797195	98.73323657179046	0	55.569705162379314	740.4972585340993	168.49289911216619	0	59.50646505969964	808.1478640986476	157.39348167519825	0	59.89942616474563	793.4158680694147	130.5282383364306	0	56.32547912101293	763.9375424562251	103.4206265514963	0	52.08374103674947	739.1874964898255	170.315897707603	0	68.93130948253943	805.028359615886	329.1529244266246	0	73.45575790220188	960.5070184065136
13	34.62078341703889	0	50.57482367277761	714.7891515245952	95.1196718017394	0	51.497537321507394	776.4912799045709	139.69873189295632	0	73.85468896368155	816.7003268750893	279.130103163507	0	53.29229806816254	955.4956463581339	93.7522195285975	0	54.561646726362085	782.2060664060813	105.3400537421219	0	53.99758749565104	794.4948460297499	181.76986069643576	0	64.51992643722602	872.6677905358739	168.80313194686846	0	61.67672751980372	855.0925955892187	138.56657155482688	0	55.9282964393124	819.865838895537	106.78025806133	0	52.99255943208862	792.180055921914	180.5183627729632	0	57.81074881047932	862.8391084263649	356.38881714206474	0	76.01052186176182	1036.5175402682755
14	38.94883498088941	0	52.28778471598424	767.0769362405792	100.52888861011081	0	51.97961569973655	828.470895604307	164.59840428536035	0	75.53762894681603	892.237955821905	284.4830338948165	0	53.769058256451174	1009.2647046145845	98.28344155738094	0	54.96492010889424	837.1709865149758	110.62259038522771	0	56.783166638280534	851.2780126680304	192.9217339055812	0	59.601707198274966	932.269497734149	175.1183852292066	0	56.21659993071629	911.3091955199347	145.77537050791992	0	54.704089912463914	874.5699288080011	110.58764812107674	0	54.76307771305379	846.9431336349676	192.71786262309044	0	62.043574165353284	924.8826825917182	380.25819052617305	0	72.88218536826301	1109.3997256365385
15	45.51757721630163	0	54.134917645271834	821.2118538858516	104.97566422367866	0	52.71355602512172	881.1844516294286	188.55705246527964	0	71.79885461517766	964.0368104370832	286.3676849851606	0	50.18762384590026	1059.452328460485	102.78060014103195	0	54.73186212847766	891.9028486434534	114.67671308045244	0	54.29972131842993	905.5777339864603	204.6728847471964	0	58.15655243876939	990.4260501729183	189.13094376042795	0	63.791808614145445	975.10100413408	149.30170709460708	0	51.25022238946679	925.820151197468	116.42959662765816	0	54.21182932436436	901.154962959332	206.18173761484647	0	61.61464350869703	986.4973261004155	405.8195023311738	0	73.5058609899578	1182.905586626496
16	49.52257628876013	0	51.06815765789945	872.280011543751	109.0030620659137	0	53.44485651216174	934.6293081415913	215.59854218746892	0	73.78601408937989	1037.8228245264634	289.7581109689006	0	49.61487903850366	1109.0672074989886	107.23921538392253	0	55.50527664596899	947.4081252894226	120.81327131717451	0	55.32532258298265	960.9030565694428	214.7154261322318	0	60.69135997647728	1051.1174101493953	203.1195490744358	0	60.56171195223128	1035.6627160863115	155.91492843442998	0	54.72034991922272	980.5405011166908	121.66269612785457	0	53.97776808268486	955.1327310420177	218.3898685387547	0	61.80368208935945	1048.3010081897746	433.636990597823	0	76.31167504305022	1259.2172616695464
17	49.31728424385545	0	51.07688570463861	923.3568972483887	112.91706688793005	0	53.45863137286113	988.0879395144517	237.98856337086664	0	71.37126616943196	1109.1940906958946	294.4901883787973	0	54.34573380741257	1163.4129413064015	115.28721738632957	0	55.242570954540895	1002.650696243963	126.97081123259535	0	56.281333791978476	1017.1843903614215	230.2420766942058	0	65.52227183137892	1116.6396819807749	213.61823808839097	0	60.253584458542285	1095.9163005448536	160.8957287071173	0	54.61410593444439	1035.1546070511354	121.82968924593374	0	51.903452056361274	1007.0361830983783	233.1458205948959	0	61.11346694873044	1109.4144751385056	456.81065313239696	0	74.38432497968333	1333.6015866492296
18	51.7860327524058	0	51.879601011833245	975.2364982602229	116.68682163668052	0	54.41537566789501	1042.5033151823468	260.86924747808655	0	71.81844130047166	1181.0125319963656	299.5947908816395	0	51.857760304758905	1215.2707016111597	128.67691099313197	0	61.857816328827894	1064.5085125727912	130.42210489367395	0	52.241894252519614	1069.4262846139409	239.35629605038855	0	58.51525500399752	1175.1549369847721	220.91299582155963	0	55.37107449625732	1151.2873750411109	166.45007368526655	0	55.26361808496895	1090.4182251361037	124.09922289879827	0	51.49928859273954	1058.5354716911177	244.74840000246667	0	60.25693819210661	1169.6714133306114	480.45495599406246	0	72.14039325283866	1405.7419799020686
19	54.9426479115084	0	52.24081133291734	1027.4773095931396	119.22064209129576	0	51.491648840161254	1093.9949640225075	283.18764475236304	0	71.57201205800375	1252.5845440543694	305.11502635042984	0	53.298321032348476	1268.5690226435092	137.96064124104922	0	56.92329113386251	1121.431803706654	133.9959451236323	0	52.58331687414937	1122.00960148809	246.0720880002946	0	53.0940658414463	1228.2490028262189	231.01065402692126	0	59.39410458000177	1210.6814796211122	172.79702414782528	0	54.473096899162876	1144.8913220352674	129.71648596638056	0	54.83925304927773	1113.374724740395	258.5831611234964	0	61.69076937937007	1231.3621827099817	506.20328666169405	0	74.16364968730294	1479.905629589371
20	57.8391291517048	0	51.134001098387735	1078.6113106915277	120.96368446827641	0	52.34288677199106	1146.3378507944992	287.1382419344663	0	51.43354287899383	1304.0180869333637	306.7656007153029	0	50.355022798412094	1318.9240454419207	148.56662459279084	0	59.41254064316077	1180.8443443498147	139.90779064971878	0	51.31615423213505	1173.3257557202255	255.71783988219818	0	58.049615553452234	1286.29861837967	237.76544965971453	0	54.21461386928055	1264.8960934903937	178.5846496599836	0	55.21745055670158	1200.1087725919685	132.85795588989038	0	53.98243799338077	1167.3571627337765	270.7136460001877	0	62.03748844473496	1293.3996711547168	527.5366998840823	0	70.9836045199881	1550.8892341093594
21	61.68777939982754	0	53.65278225942736	1132.2640929509548	125.50964482108678	0	53.05486754202748	1199.3927183365265	293.08360491009114	0	53.05538510550342	1357.0734720388668	310.0514547459797	0	52.329195008968185	1371.25324045089	158.83606164249616	0	58.80356829009367	1239.6479126399079	147.05465410813724	0	57.613356420691815	1230.9391121409178	267.8558608422677	0	60.21090714291914	1346.5095255225888	249.66809719545873	0	59.60899488129109	1324.5050883716845	184.71074683202514	0	53.74462996405003	1253.8534025560186	134.91063723881837	0	50.76073528471872	1218.1178980184957	287.8279439840087	0	66.32704583550799	1359.7267169902248	550.7687304358092	0	73.77518202220487	1624.6644161315642
